canister_id,project,type,token_name,token_symbol,notes
2apht-sqaaa-aaaar-qbz3q-cai,ODIN.fun,token,ODINBRAVE•ID•XSXH•ODIN,ODINBRAVE•ID•XSXH•ODIN,Token: ODINBRAVE•ID•XSXH•ODIN (ODINBRAVE•ID•XSXH•ODIN)
2bdau-eaaaa-aaaak-qt2ma-cai,Unknown Token,token,MY GIRL,MGL,Token: MY GIRL (MGL)
2be6c-nqaaa-aaaaf-qan7q-cai,Unknown,backend,,,Frontend: https://2be6c-nqaaa-aaaaf-qan7q-cai.ic0.app.
2bslg-pyaaa-aaaal-ad37a-cai,Unknown,backend,,,Frontend: https://2bslg-pyaaa-aaaal-ad37a-cai.ic0.app.
2bwnk-liaaa-aaaak-quria-cai,Unknown,backend,,,Frontend: https://2bwnk-liaaa-aaaak-quria-cai.ic0.app.
2c2gx-oiaaa-aaaai-q3u2q-cai,Unknown,backend,,,Frontend: https://2c2gx-oiaaa-aaaai-q3u2q-cai.ic0.app.
2c3ce-2aaaa-aaaar-qapxa-cai,ODIN.fun,token,ALICE•ID•FBFP•ODIN,ALICE•ID•FBFP•ODIN,Token: ALICE•ID•FBFP•ODIN (ALICE•ID•FBFP•ODIN)
2cpcj-3aaaa-aaaar-qbvxq-cai,ODIN.fun,token,ICP•ID•FFPI•ODIN,ICP•ID•FFPI•ODIN,Token: ICP•ID•FFPI•ODIN (ICP•ID•FFPI•ODIN)
2cse4-eyaaa-aaaal-ajvpa-cai,Unknown,backend,,,Frontend: https://2cse4-eyaaa-aaaal-ajvpa-cai.ic0.app.
2dso4-giaaa-aaaal-adxta-cai,Unknown,backend,,,Frontend: https://2dso4-giaaa-aaaal-adxta-cai.ic0.app.
2ed46-kaaaa-aaaam-qdo3a-cai,Unknown,backend,,,Frontend: https://2ed46-kaaaa-aaaam-qdo3a-cai.ic0.app.
2etii-lqaaa-aaaal-adxtq-cai,Unknown,backend,,,Frontend: https://2etii-lqaaa-aaaal-adxtq-cai.ic0.app.
2f2eq-xyaaa-aaaar-qapxq-cai,ODIN.fun,token,ODINXBT•ID•CCOC•ODIN,ODINXBT•ID•CCOC•ODIN,Token: ODINXBT•ID•CCOC•ODIN (ODINXBT•ID•CCOC•ODIN)
2f3ad-dqaaa-aaaai-q3u2a-cai,Unknown,backend,,,Frontend: https://2f3ad-dqaaa-aaaai-q3u2a-cai.icp0.io.
2foe5-wyaaa-aaaar-qbvxa-cai,ODIN.fun,token,ODINPIZZA•ID•DNIO•ODIN,ODINPIZZA•ID•DNIO•ODIN,Token: ODINPIZZA•ID•DNIO•ODIN (ODINPIZZA•ID•DNIO•ODIN)
2fytf-maaaa-aaaad-qg65a-cai,Unknown,backend,,,Frontend: https://2fytf-maaaa-aaaad-qg65a-cai.ic0.app.
2gfyw-aiaaa-aaaaf-qan7a-cai,Unknown,backend,,,Frontend: https://2gfyw-aiaaa-aaaaf-qan7a-cai.icp0.io.
2gtns-caaaa-aaaal-ad37q-cai,Unknown,backend,,,Frontend: https://2gtns-caaaa-aaaal-ad37q-cai.ic0.app.
2guii-nqaaa-aaaai-qpkma-cai,Unknown Token,token,tttt,TT,Token: tttt (TT)
2h5or-paaaa-aaaak-qcjyq-cai,Unknown,backend,,,Frontend: https://2h5or-paaaa-aaaak-qcjyq-cai.icp0.io.
2hobh-7iaaa-aaaar-qbz3a-cai,FomoWell,token,TKGM•ID•KCDM•WELL,TKGM•ID•KCDM•WELL,Token: TKGM•ID•KCDM•WELL (TKGM•ID•KCDM•WELL)
2hogi-2qaaa-aaaag-at53a-cai,Unknown,backend,,,Frontend: https://2hogi-2qaaa-aaaag-at53a-cai.ic0.app.
2inev-tqaaa-aaaar-qbnoq-cai,ODIN.fun,token,BTCHACD•ID•AUND•ODIN,BTCHACD•ID•AUND•ODIN,Token: BTCHACD•ID•AUND•ODIN (BTCHACD•ID•AUND•ODIN)
2iwfa-waaaa-aaaai-qpkna-cai,Unknown Token,token,fsdf,sad,Token: fsdf (sad)
2jzxy-6qaaa-aaaai-atfya-cai,Unknown,backend,,,Frontend: https://2jzxy-6qaaa-aaaai-atfya-cai.ic0.app.
2lmjv-niaaa-aaaar-qbvwa-cai,ODIN.fun,token,BTCFI•ID•PHCW•ODIN,BTCFI•ID•PHCW•ODIN,Token: BTCFI•ID•PHCW•ODIN (BTCFI•ID•PHCW•ODIN)
2lpzj-6aaaa-aaaai-q3l6q-cai,Unknown Token,token,BullyBucks,HUGO,Token: BullyBucks (HUGO)
2lrpa-sqaaa-aaaal-ajvoq-cai,Unknown,backend,,,Frontend: https://2lrpa-sqaaa-aaaal-ajvoq-cai.ic0.app.
2lyjy-miaaa-aaaar-qapwq-cai,ODIN.fun,token,SWB•ID•EGLE•ODIN,SWB•ID•EGLE•ODIN,Token: SWB•ID•EGLE•ODIN (SWB•ID•EGLE•ODIN)
2lznl-yaaaa-aaaai-q3u3a-cai,Unknown,backend,,,Frontend: https://2lznl-yaaaa-aaaai-q3u3a-cai.icp0.io.
2mnpb-aqaaa-aaaar-qbvwq-cai,ODIN.fun,token,TESLA•ID•OSYM•ODIN,TESLA•ID•OSYM•ODIN,Token: TESLA•ID•OSYM•ODIN (TESLA•ID•OSYM•ODIN)
2mo75-tyaaa-aaaai-q3l6a-cai,Unknown Token,token,8Year Gang,8,Token: 8Year Gang (8)
2mp3o-hqaaa-aaaar-qaqtq-cai,ODIN.fun,token,VIKI•ID•SNFM•ODIN,VIKI•ID•SNFM•ODIN,Token: VIKI•ID•SNFM•ODIN (VIKI•ID•SNFM•ODIN)
2myl7-vyaaa-aaaai-q3u3q-cai,Unknown,backend,,,Frontend: https://2myl7-vyaaa-aaaai-q3u3q-cai.ic0.app.
2mzpm-bqaaa-aaaar-qapwa-cai,ODIN.fun,token,SUPEREX•ID•OOER•ODIN,SUPEREX•ID•OOER•ODIN,Token: SUPEREX•ID•OOER•ODIN (SUPEREX•ID•OOER•ODIN)
2naxc-4iaaa-aaaam-qdo2q-cai,Unknown,backend,,,Frontend: https://2naxc-4iaaa-aaaam-qdo2q-cai.icp0.io.
2ncr2-7iaaa-aaaak-qucaq-cai,Unknown Token,token,Clap Hands,CLAPS,Token: Clap Hands (CLAPS)
2nqdu-5yaaa-aaaal-adxsa-cai,Unknown,backend,,,Frontend: https://2nqdu-5yaaa-aaaal-adxsa-cai.ic0.app.
2nvud-4yaaa-aaaal-qjaxa-cai,Unknown,backend,,,Frontend: https://2nvud-4yaaa-aaaal-qjaxa-cai.ic0.app.
2obr6-aaaaa-aaaaj-a2bbq-cai,Unknown,backend,,,Frontend: https://2obr6-aaaaa-aaaaj-a2bbq-cai.icp0.io.
2onk3-jaaaa-aaaar-qbz2q-cai,ODIN.fun,token,ODINZM•ID•SLYT•ODIN,ODINZM•ID•SLYT•ODIN,Token: ODINZM•ID•SLYT•ODIN (ODINZM•ID•SLYT•ODIN)
2onnu-myaaa-aaaag-at52q-cai,Unknown,backend,,,Frontend: https://2onnu-myaaa-aaaag-at52q-cai.icp0.io.
2pmcb-6iaaa-aaaar-qbnoa-cai,ODIN.fun,token,COO•ID•HTEX•ODIN,COO•ID•HTEX•ODIN,Token: COO•ID•HTEX•ODIN (COO•ID•HTEX•ODIN)
2q4ro-cyaaa-aaaai-q3uzq-cai,Unknown,backend,,,Frontend: https://2q4ro-cyaaa-aaaai-q3uzq-cai.ic0.app.
2q5v5-wqaaa-aaaar-qapua-cai,ODIN.fun,token,MARS•ID•NBEU•ODIN,MARS•ID•NBEU•ODIN,Token: MARS•ID•NBEU•ODIN (MARS•ID•NBEU•ODIN)
2qc72-4qaaa-aaaap-qhwqq-cai,Unknown,backend,,,Frontend: https://2qc72-4qaaa-aaaap-qhwqq-cai.ic0.app.
2qjvq-xqaaa-aaaar-qbvuq-cai,ODIN.fun,token,PEPE•ID•ZTJB•ODIN,PEPE•ID•ZTJB•ODIN,Token: PEPE•ID•ZTJB•ODIN (PEPE•ID•ZTJB•ODIN)
2qsop-qiaaa-aaaak-qt5sa-cai,Unknown Token,token,Synthetix,SNX,Token: Synthetix (SNX)
2rgll-iiaaa-aaaak-quccq-cai,Unknown,backend,,,Frontend: https://2rgll-iiaaa-aaaak-quccq-cai.ic0.app.
2rv37-7aaaa-aaaal-ajbyq-cai,Unknown,backend,,,Frontend: https://2rv37-7aaaa-aaaal-ajbyq-cai.ic0.app.
2s4l5-eiaaa-aaaai-atf2q-cai,Unknown,backend,,,Frontend: https://2s4l5-eiaaa-aaaai-atf2q-cai.ic0.app.
2sjqk-6aaaa-aaaar-qbzyq-cai,ODIN.fun,token,TKC•ID•NUPO•ODIN,TKC•ID•NUPO•ODIN,Token: TKC•ID•NUPO•ODIN (TKC•ID•NUPO•ODIN)
2tcj3-baaaa-aaaaf-qan4q-cai,Unknown,backend,,,Frontend: https://2tcj3-baaaa-aaaaf-qan4q-cai.ic0.app.
2te52-laaaa-aaaah-arb5a-cai,Unknown,backend,,,Frontend: https://2te52-laaaa-aaaah-arb5a-cai.ic0.app.
2tkm7-oiaaa-aaaar-qaija-cai,Ordi Trade,token,RUNES•X•BITCOIN.OT,X.OT,Token: RUNES•X•BITCOIN.OT (X.OT)
2udpp-myaaa-aaaaf-qan4a-cai,Unknown,backend,,,Frontend: https://2udpp-myaaa-aaaaf-qan4a-cai.icp0.io.
2ulkl-dqaaa-aaaar-qaijq-cai,Ordi Trade,token,BILLION•DOLLAR•CAT,BDC.OT,Token: BILLION•DOLLAR•CAT (BDC.OT)
2v3om-2yaaa-aaaah-qczoa-cai,Unknown,backend,,,Frontend: https://2v3om-2yaaa-aaaah-qczoa-cai.icp0.io.
2v5nj-jqaaa-aaaai-atf2a-cai,Unknown,backend,,,Frontend: https://2v5nj-jqaaa-aaaai-atf2a-cai.icp0.io.
2vn26-myaaa-aaaao-aanla-cai,Unknown,backend,,,"Methods: service, hello"
2vqu5-5iaaa-aaaak-quf7a-cai,Unknown Token,token,Adam Computer Protocol ,ACP,Token: Adam Computer Protocol  (ACP)
2whn7-fqaaa-aaaak-qucca-cai,Unknown,backend,,,Frontend: https://2whn7-fqaaa-aaaak-qucca-cai.icp0.io.
2wu5l-syaaa-aaaal-ajbya-cai,Unknown,backend,,,Frontend: https://2wu5l-syaaa-aaaal-ajbya-cai.ic0.app.
2x5x2-paaaa-aaaai-q3uza-cai,Unknown,backend,,,Frontend: https://2x5x2-paaaa-aaaai-q3uza-cai.icp0.io.
2xite-2iaaa-aaaar-qbvua-cai,ODIN.fun,token,WETH•ID•EQXL•ODIN,WETH•ID•EQXL•ODIN,Token: WETH•ID•EQXL•ODIN (WETH•ID•EQXL•ODIN)
2xkhl-5iaaa-aaaar-qaqra-cai,ODIN.fun,token,WUKONG•ID•RWIC•ODIN,WUKONG•ID•RWIC•ODIN,Token: WUKONG•ID•RWIC•ODIN (WUKONG•ID•RWIC•ODIN)
2yxsz-4qaaa-aaaal-adxrq-cai,Unknown,backend,,,Frontend: https://2yxsz-4qaaa-aaaal-adxrq-cai.ic0.app.
2z66b-ayaaa-aaaar-qapvq-cai,ODIN.fun,token,SNEK•ID•UVVT•ODIN,SNEK•ID•UVVT•ODIN,Token: SNEK•ID•UVVT•ODIN (SNEK•ID•UVVT•ODIN)
2z72s-uqaaa-aaaai-q3uya-cai,Unknown,backend,,,Frontend: https://2z72s-uqaaa-aaaai-q3uya-cai.icp0.io.
2zaob-nyaaa-aaaal-ad4aq-cai,Unknown,backend,,,Frontend: https://2zaob-nyaaa-aaaal-ad4aq-cai.ic0.app.
2zikd-gyaaa-aaaar-qaqqa-cai,ODIN.fun,token,ODINPEPE•ID•HIRM•ODIN,ODINPEPE•ID•HIRM•ODIN,Token: ODINPEPE•ID•HIRM•ODIN (ODINPEPE•ID•HIRM•ODIN)
2zk6m-byaaa-aaaar-qbvva-cai,ODIN.fun,token,ODINPIZZA•ID•QBIU•ODIN,ODINPIZZA•ID•QBIU•ODIN,Token: ODINPIZZA•ID•QBIU•ODIN (ODINPIZZA•ID•QBIU•ODIN)
2zrft-gaaaa-aaaak-qt5tq-cai,Unknown Token,token,Filecoin,FIL,Token: Filecoin (FIL)
322ha-cqaaa-aaaah-qqcpq-cai,Unknown,backend,,,Frontend: https://322ha-cqaaa-aaaah-qqcpq-cai.ic0.app.
325mv-syaaa-aaaak-qt5va-cai,Unknown Token,token,token1,TBTC,Token: token1 (TBTC)
32gxk-vaaaa-aaaar-qbvtq-cai,ODIN.fun,token,ANI•ID•JEYD•ODIN,ANI•ID•JEYD•ODIN,Token: ANI•ID•JEYD•ODIN (ANI•ID•JEYD•ODIN)
32sxh-uaaaa-aaaar-qapta-cai,ODIN.fun,token,MOON•ID•NINA•ODIN,MOON•ID•NINA•ODIN,Token: MOON•ID•NINA•ODIN (MOON•ID•NINA•ODIN)
33heh-4iaaa-aaaao-qkcra-cai,Unknown Token,token,Test14,TST14,Token: Test14 (TST14)
33tnr-7iaaa-aaaae-acxoq-cai,Unknown,backend,,,Frontend: https://33tnr-7iaaa-aaaae-acxoq-cai.ic0.app.
346vy-oyaaa-aaaan-qzyja-cai,Unknown,backend,,,Frontend: https://346vy-oyaaa-aaaan-qzyja-cai.ic0.app.
353bu-piaaa-aaaah-qqcpa-cai,Unknown,backend,,,Frontend: https://353bu-piaaa-aaaah-qqcpa-cai.ic0.app.
35dny-6aaaa-aaaas-akqba-cai,Unknown,backend,,,Frontend: https://35dny-6aaaa-aaaas-akqba-cai.icp0.io.
35trt-zyaaa-aaaar-qaptq-cai,ODIN.fun,token,GODSHILLA•ID•RZVR•ODIN,GODSHILLA•ID•RZVR•ODIN,Token: GODSHILLA•ID•RZVR•ODIN (GODSHILLA•ID•RZVR•ODIN)
36l7l-yqaaa-aaaal-amm5a-cai,Unknown,backend,,,Frontend: https://36l7l-yqaaa-aaaal-amm5a-cai.icp0.io.
36qi4-aaaaa-aaaar-qbsoa-cai,ODIN.fun,token,BOBBODIE•ID•VAAO•ODIN,BOBBODIE•ID•VAAO•ODIN,Token: BOBBODIE•ID•VAAO•ODIN (BOBBODIE•ID•VAAO•ODIN)
3a6h2-sqaaa-aaaal-adxvq-cai,Unknown,backend,,,Frontend: https://3a6h2-sqaaa-aaaal-adxvq-cai.ic0.app.
3awac-fiaaa-aaaad-qhpkq-cai,Unknown,backend,,,Frontend: https://3awac-fiaaa-aaaad-qhpkq-cai.ic0.app.
3bxlc-oyaaa-aaaar-qaprq-cai,ODIN.fun,token,HUGINN•ID•OWLO•ODIN,HUGINN•ID•OWLO•ODIN,Token: HUGINN•ID•OWLO•ODIN (HUGINN•ID•OWLO•ODIN)
3dewk-oiaaa-aaaah-qddlq-cai,Unknown,backend,,,Frontend: https://3dewk-oiaaa-aaaah-qddlq-cai.icp0.io.
3dgcv-ziaaa-aaaao-aanoa-cai,Unknown,backend,,,"Methods: service, hello"
3ecpo-oiaaa-aaaag-at55q-cai,Unknown,backend,,,Frontend: https://3ecpo-oiaaa-aaaag-at55q-cai.icp0.io.
3gxjf-xiaaa-aaaai-q3u4q-cai,Unknown,backend,,,Frontend: https://3gxjf-xiaaa-aaaai-q3u4q-cai.icp0.io.
3h7bo-7iaaa-aaaal-adxva-cai,Unknown,backend,,,Frontend: https://3h7bo-7iaaa-aaaal-adxva-cai.ic0.app.
3hxgw-iqaaa-aaaad-qhpka-cai,Unknown,backend,,,Frontend: https://3hxgw-iqaaa-aaaad-qhpka-cai.icp0.io.
3iua6-yqaaa-aaaar-qapqa-cai,ODIN.fun,token,PEPEGA•ID•KGUB•ODIN,PEPEGA•ID•KGUB•ODIN,Token: PEPEGA•ID•KGUB•ODIN (PEPEGA•ID•KGUB•ODIN)
3j5mg-eyaaa-aaaal-adxua-cai,Unknown,backend,,,Frontend: https://3j5mg-eyaaa-aaaal-adxua-cai.ic0.app.
3kf65-giaaa-aaaak-qcw2q-cai,Unknown Token,token,AVOCADO,AVCD,Token: AVOCADO (AVCD)
3lmog-zyaaa-aaaal-amm6q-cai,Unknown,backend,,,Frontend: https://3lmog-zyaaa-aaaal-amm6q-cai.ic0.app.
3lxzr-biaaa-aaaar-qbsnq-cai,ODIN.fun,token,OSK•ID•RBOM•ODIN,OSK•ID•RBOM•ODIN,Token: OSK•ID•RBOM•ODIN (OSK•ID•RBOM•ODIN)
3m3ks-paaaa-aaaai-qpkla-cai,Unknown Token,token,ada,asda,Token: ada (asda)
3mnis-uaaaa-aaaal-amm6a-cai,Unknown,backend,,,Frontend: https://3mnis-uaaaa-aaaal-amm6a-cai.icp0.io.
3ng3c-vyaaa-aaaah-qddkq-cai,Unknown,backend,,,Frontend: https://3ng3c-vyaaa-aaaah-qddkq-cai.icp0.io.
3o4ks-jaaaa-aaaal-adxuq-cai,Unknown,backend,,,Frontend: https://3o4ks-jaaaa-aaaal-adxuq-cai.ic0.app.
3p25y-tqaaa-aaaak-qt5wq-cai,Unknown Token,token,Avalanche,AVAX,Token: Avalanche (AVAX)
3pdsi-tiaaa-aaaar-qaqva-cai,ODIN.fun,token,ODINPNUT•ID•HWRF•ODIN,ODINPNUT•ID•HWRF•ODIN,Token: ODINPNUT•ID•HWRF•ODIN (ODINPNUT•ID•HWRF•ODIN)
3pucz-baaaa-aaaai-q3u5a-cai,Unknown,backend,,,Frontend: https://3pucz-baaaa-aaaai-q3u5a-cai.ic0.app.
3q7qd-yaaaa-aaaai-qpkja-cai,Unknown Token,token,asdd,asdd,Token: asdd (asdd)
3qgfz-2qaaa-aaaar-qaipq-cai,Unknown,backend,,,"Frontend: https://3qgfz-2qaaa-aaaar-qaipq-cai.ic0.app. Methods: owner, subaccount, burn, kind, mint, approve, timestamp, transfer, fee, from"
3qsfu-3qaaa-aaaar-qbspa-cai,ODIN.fun,token,MODULEX•ID•TQHU•ODIN,MODULEX•ID•TQHU•ODIN,Token: MODULEX•ID•TQHU•ODIN (MODULEX•ID•TQHU•ODIN)
3r4gx-wqaaa-aaaaq-aaaia-cai,Unknown,backend,,,Frontend: https://3r4gx-wqaaa-aaaaq-aaaia-cai.icp0.io
3rf6d-paaaa-aaaag-at56a-cai,Unknown,backend,,,Frontend: https://3rf6d-paaaa-aaaag-at56a-cai.ic0.app.
3stx4-waaaa-aaaaj-qnoua-cai,Unknown,backend,,,Frontend: https://3stx4-waaaa-aaaaj-qnoua-cai.ic0.app.
3syqd-6aaaa-aaaal-adxwq-cai,Unknown,backend,,,Frontend: https://3syqd-6aaaa-aaaal-adxwq-cai.ic0.app.
3thnb-raaaa-aaaaa-qahla-cai,Unknown,backend,,,Frontend: https://3thnb-raaaa-aaaaa-qahla-cai.icp0.io.
3tr43-ciaaa-aaaar-qapsq-cai,ODIN.fun,token,ODINSHADOW•ID•FMRU•ODIN,ODINSHADOW•ID•FMRU•ODIN,Token: ODINSHADOW•ID•FMRU•ODIN (ODINSHADOW•ID•FMRU•ODIN)
3ttlo-zqaaa-aaaad-qg6ya-cai,Unknown,backend,,,Frontend: https://3ttlo-zqaaa-aaaad-qg6ya-cai.ic0.app.
3uglv-4yaaa-aaaaa-qahlq-cai,Unknown,backend,,,Frontend: https://3uglv-4yaaa-aaaaa-qahlq-cai.ic0.app.
3uq2p-pqaaa-aaaar-qapsa-cai,ODIN.fun,token,HUGINN•ID•RRQS•ODIN,HUGINN•ID•RRQS•ODIN,Token: HUGINN•ID•RRQS•ODIN (HUGINN•ID•RRQS•ODIN)
3v56e-yqaaa-aaaan-qzyiq-cai,Unknown,backend,,,Frontend: https://3v56e-yqaaa-aaaan-qzyiq-cai.icp0.io.
3vzwx-tyaaa-aaaal-adxwa-cai,Unknown,backend,,,Frontend: https://3vzwx-tyaaa-aaaal-adxwa-cai.ic0.app.
3wdhh-paaaa-aaaah-qddia-cai,Unknown,backend,,,Frontend: https://3wdhh-paaaa-aaaah-qddia-cai.icp0.io.
3wt4i-faaaa-aaaaj-qnwma-cai,Unknown,backend,,,Frontend: https://3wt4i-faaaa-aaaaj-qnwma-cai.ic0.app.
3wzge-xyaaa-aaaal-qbeja-cai,Unknown,backend,,,"Methods: service, hello"
3x5sf-taaaa-aaaah-aq33q-cai,Unknown,backend,,,"Frontend: https://3x5sf-taaaa-aaaah-aq33q-cai.ic0.app. Methods: owner, subaccount, hash, owner, subaccount, RegisterKnownNeuron, ManageNeuron, CreateServiceNervousSystem, ExecuteNnsFunction, RewardNodeProvider"
3xtda-wiaaa-aaaar-qbspq-cai,ODIN.fun,token,BITNEIRO•ID•ZMEO•ODIN,BITNEIRO•ID•ZMEO•ODIN,Token: BITNEIRO•ID•ZMEO•ODIN (BITNEIRO•ID•ZMEO•ODIN)
3ybkp-uqaaa-aaaah-qddja-cai,Unknown,backend,,,Frontend: https://3ybkp-uqaaa-aaaah-qddja-cai.ic0.app.
3zfof-myaaa-aaaar-qaioa-cai,Unknown,backend,,,Frontend: https://3zfof-myaaa-aaaar-qaioa-cai.ic0.app.
3zkvx-kaaaa-aaaak-qt2ia-cai,Unknown Token,token,Trump,TRMP,Token: Trump (TRMP)
3zkz7-viaaa-aaaal-amm5q-cai,Unknown,backend,,,Frontend: https://3zkz7-viaaa-aaaal-amm5q-cai.ic0.app.
3zroi-nyaaa-aaaar-qbsoq-cai,ODIN.fun,token,BUTTERFLY•ID•LRWR•ODIN,BUTTERFLY•ID•LRWR•ODIN,Token: BUTTERFLY•ID•LRWR•ODIN (BUTTERFLY•ID•LRWR•ODIN)
3zwjo-2yaaa-aaaao-qj6xq-cai,Unknown,backend,,,Frontend: https://3zwjo-2yaaa-aaaao-qj6xq-cai.icp0.io.
42crl-7yaaa-aaaak-adkzq-cai,Unknown,backend,,,Frontend: https://42crl-7yaaa-aaaak-adkzq-cai.icp0.io.
43adh-naaaa-aaaar-qbvdq-cai,ODIN.fun,token,AMANDAXD•ID•DTDV•ODIN,AMANDAXD•ID•DTDV•ODIN,Token: AMANDAXD•ID•DTDV•ODIN (AMANDAXD•ID•DTDV•ODIN)
43cxi-kaaaa-aaaar-qaqgq-cai,ODIN.fun,token,WZRD•ID•HFZK•ODIN,WZRD•ID•HFZK•ODIN,Token: WZRD•ID•HFZK•ODIN (WZRD•ID•HFZK•ODIN)
43qjv-pyaaa-aaaac-a4wxq-cai,Unknown,backend,,,Frontend: https://43qjv-pyaaa-aaaac-a4wxq-cai.icp0.io.
43udk-maaaa-aaaar-qapda-cai,ODIN.fun,token,ODINAI•ID•VEDI•ODIN,ODINAI•ID•VEDI•ODIN,Token: ODINAI•ID•VEDI•ODIN (ODINAI•ID•VEDI•ODIN)
43wu7-xyaaa-aaaad-qg6jq-cai,Unknown,backend,,,Frontend: https://43wu7-xyaaa-aaaad-qg6jq-cai.ic0.app.
4426m-haaaa-aaaak-qt5fq-cai,Unknown Token,token,Aptos,APT,Token: Aptos (APT)
44bft-ayaaa-aaaar-qbvda-cai,ODIN.fun,token,KEKIUS•ID•EAQQ•ODIN,KEKIUS•ID•EAQQ•ODIN,Token: KEKIUS•ID•EAQQ•ODIN (KEKIUS•ID•EAQQ•ODIN)
44dr4-hyaaa-aaaar-qaqga-cai,ODIN.fun,token,NUKLAI•ID•COFG•ODIN,NUKLAI•ID•COFG•ODIN,Token: NUKLAI•ID•COFG•ODIN (NUKLAI•ID•COFG•ODIN)
44jjm-nqaaa-aaaap-ai7jq-cai,Unknown,backend,,,Frontend: https://44jjm-nqaaa-aaaap-ai7jq-cai.ic0.app.
44kxe-zaaaa-aaaal-ajk6a-cai,Unknown,backend,,,Frontend: https://44kxe-zaaaa-aaaal-ajk6a-cai.ic0.app.
44vf6-byaaa-aaaar-qapdq-cai,ODIN.fun,token,AODINGGOU•ID•EYHK•ODIN,AODINGGOU•ID•EYHK•ODIN,Token: AODINGGOU•ID•EYHK•ODIN (AODINGGOU•ID•EYHK•ODIN)
44xsl-2aaaa-aaaad-qg6ja-cai,Unknown,backend,,,Frontend: https://44xsl-2aaaa-aaaad-qg6ja-cai.icp0.io.
454jg-5qaaa-aaaal-adxhq-cai,Unknown,backend,,,Frontend: https://454jg-5qaaa-aaaal-adxhq-cai.ic0.app.
45pog-dqaaa-aaaao-a4piq-cai,Unknown Token,token,MyToken,MYTOKEN,Token: MyToken (MYTOKEN)
466cd-vaaaa-aaaac-aonra-cai,Unknown,backend,,,Frontend: https://466cd-vaaaa-aaaac-aonra-cai.icp0.io.
46bhg-mqaaa-aaaag-at5pa-cai,Unknown,backend,,,Frontend: https://46bhg-mqaaa-aaaag-at5pa-cai.ic0.app.
473ia-7yaaa-aaaag-amd5a-cai,Unknown,backend,,,Frontend: https://473ia-7yaaa-aaaag-amd5a-cai.ic0.app.
473jg-3qaaa-aaaai-qpkya-cai,Unknown Token,token,GoldFish,GLDF,Token: GoldFish (GLDF)
47ait-6aaaa-aaaar-qbn3q-cai,ODIN.fun,token,ODINPOLAR•ID•ZBMN•ODIN,ODINPOLAR•ID•ZBMN•ODIN,Token: ODINPOLAR•ID•ZBMN•ODIN (ODINPOLAR•ID•ZBMN•ODIN)
